polarity,text,text_2,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Topic,Body_Shaming
0,my whole body feels itchy and like its on fire ,my whole body feels itchy and like its on fire ,0,1,0.6805,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['bodi', 'feel', 'itchi', 'like']",body,Yes
0,i really hate how people diss my bands!  Trace is clearly NOT ugly!,i really hate how people diss my bands  Trace is clearly NOT ugly,2,1,0.6978,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['hate', 'peopl', 'diss', 'band', 'trace', 'clearli', 'ugli']",body,Yes
0,why is it always the fat ones?! ,why is it always the fat ones ,3,2,0.5623,"short, like, love, bodi, watch, dark, tall, think, week, that",['one'],body,Yes
0,My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot ,My mind and body are severely protesting this quotgetting upquot  thing Had nightmares to boot ,5,4,0.6638,"short, bodi, good, guy, hair, your, mind, thing, life, love","['mind', 'bodi', 'sever', 'protest', 'quotget', 'upquot', 'thing', 'nightmar', 'boot']",body,Yes
0,"Geez what a busy afternoon. Meetings, emails, meetings and email and more meetings. 6pm and the day is still going! Ah its dark and ",Geez what a busy afternoon Meetings emails meetings and email and more meetings pm and the day is still going Ah its dark and ,6,2,0.6106,"short, like, love, bodi, watch, dark, tall, think, week, that","['geez', 'busi', 'afternoon', 'meet', 'email', 'meet', 'email', 'meet', 'go', 'dark']",body,Yes
0,Wait should I eat?? Or be skinny for vegas!! I'm hungry! ,Wait should I eat Or be skinny for vegas Im hungry ,8,1,0.6755,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['wait', 'skinni', 'vega', 'hungri']",body,Yes
0,Waiting at the airport for my ride while I get harassed by 2 men trying to sell me ugly hats.. Why me?!  I just want to sleep..,Waiting at the airport for my ride while I get harassed by  men trying to sell me ugly hats Why me  I just want to sleep,9,5,0.4317,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['wait', 'airport', 'ride', 'harass', 'tri', 'sell', 'ugli', 'hat', 'want', 'sleep']",body,Yes
0,"http://is.gd/r8Zf,  http://is.gd/r8Zy, and  http://is.gd/r8ZG - test footage with my girlfriend (in HD) The dark one is underxposed ",httpisgdrZf  httpisgdrZy and  httpisgdrZG  test footage with my girlfriend in HD The dark one is underxposed ,10,1,0.6117,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['httpisgdrzf', 'httpisgdrzi', 'httpisgdrzg', 'test', 'footag', 'girlfriend', 'dark', 'underxpos']",body,Yes
0,: @nikicheong just reminded me that #KrispyKreme http://www.krispykreme.com.my/ has landed in Msia and has an ugly website , nikicheong just reminded me that KrispyKreme httpwwwkrispykremecommy has landed in Msia and has an ugly website ,13,1,0.6669,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['nikicheong', 'remind', 'krispykrem', 'land', 'msia', 'ugli', 'websit']",body,Yes
0,Finds her mom rly annoying. I need to detox and do an H2O day. My skin is shitting. ,Finds her mom rly annoying I need to detox and do an HO day My skin is shitting ,17,1,0.385,"skin, heavi, feel, skinni, dark, short, jean, rain, bodi, love","['find', 'annoy', 'need', 'detox', 'skin', 'shit']",body,Yes
0,body clock still up the chuffer..note never ever stay up late again -also afro is back ,body clock still up the chuffernote never ever stay up late again also afro is back ,18,4,0.4362,"short, bodi, good, guy, hair, your, mind, thing, life, love","['bodi', 'clock', 'chuffernot', 'stay', 'late', 'afro']",body,Yes
0,"ugh, just read on #CNN that they found the Cantu girl's body in a pond near their home. How terrible for her family ",ugh just read on CNN that they found the Cantu girls body in a pond near their home How terrible for her family ,19,5,0.5595,"short, tall, hair, think, bodi, like, morn, heavi, skinni, dark","['read', 'cantu', 'girl', 'bodi', 'pond', 'near', 'home', 'terribl', 'famili']",body,Yes
0,Have to update my picture cos I look old and fat.  Oh I am old and fat  playing badminton is not working on weight ,Have to update my picture cos I look old and fat  Oh I am old and fat  playing badminton is not working on weight ,20,3,0.5375,"bodi, dark, skin, short, hurt, time, heavi, love, night, tweet","['updat', 'pictur', 'look', 'play', 'badminton', 'work', 'weight']",body,Yes
