polarity,text,text_2,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Topic,Body_Shaming
0,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,Falling asleep Just heard about that Tracy girls body being found How sad  My heart breaks for that family,1,6,0.5495,"short, love, skin, bodi, dark, heavi, friend, ugli, have, go","['fall', 'asleep', 'hear', 'traci', 'girl', 'bodi', 'heart', 'break', 'famili']",not body,No
0,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,thecoolestout Ehhh dont Weathers gonna take a turn for the ugly tomorrow ,4,7,0.7421,"bodi, ugli, short, know, dark, like, love, good, time, get","['thecoolestout', 'ehhh', 'dont', 'weather', 'gonna', 'turn', 'ugli', 'tomorrow']",not body,No
0,Time to move my posterior  and lose some fat. My articulation are creaking so no more running  but Iï¿½m drool for some swimming,Time to move my posterior  and lose some fat My articulation are creaking so no more running  but Im drool for some swimming,7,7,0.3898,"bodi, ugli, short, know, dark, like, love, good, time, get","['time', 'posterior', 'lose', 'articul', 'creak', 'run', 'drool', 'swim']",not body,No
0,@JustGelo Its sad knowing how they found her body. What a crazy world we live in. No child deserves that ya know. ,JustGelo Its sad knowing how they found her body What a crazy world we live in No child deserves that ya know ,11,7,0.7164,"bodi, ugli, short, know, dark, like, love, good, time, get","['justgelo', 'know', 'bodi', 'crazi', 'world', 'live', 'child', 'deserv', 'know']",not body,No
0,"Not feeling well again. Stupid migraine making my tummy upset.  and my whole body aches, shoot me now.",Not feeling well again Stupid migraine making my tummy upset  and my whole body aches shoot me now,12,7,0.7613,"bodi, ugli, short, know, dark, like, love, good, time, get","['feel', 'stupid', 'migrain', 'make', 'tummi', 'upset', 'bodi', 'ach', 'shoot']",not body,No
0,"But the international font looks ugly. Going back to original font. After all, who'd tweet in malayalam ",But the international font looks ugly Going back to original font After all whod tweet in malayalam ,14,0,0.4086,"dark, look, short, skin, bodi, go, miss, work, hair, say","['intern', 'font', 'look', 'ugli', 'go', 'origin', 'font', 'whod', 'tweet', 'malayalam']",not body,No
0,"Just bought Sour gummi worms, peach gummi O's, and cheeto puffs... AND a 44 ounce soda... I'm such a fat ass  Had a huge dinner too.",Just bought Sour gummi worms peach gummi Os and cheeto puffs AND a  ounce soda Im such a fat ass  Had a huge dinner too,15,0,0.4535,"dark, look, short, skin, bodi, go, miss, work, hair, say","['buy', 'sour', 'gummi', 'worm', 'peach', 'gummi', 'cheeto', 'puff', 'ounc', 'soda', 'huge', 'dinner']",not body,No
0,http://twitpic.com/2y4vn - remember these days? neither do i. siiiiike. i miss my old body  someday soon u shall be miiiiine.,httptwitpiccomyvn  remember these days neither do i siiiiike i miss my old body  someday soon u shall be miiiiine,16,0,0.5103,"dark, look, short, skin, bodi, go, miss, work, hair, say","['rememb', 'day', 'siiiiik', 'miss', 'bodi', 'someday', 'soon', 'shall', 'miiiiin']",not body,No
0,T___T need more sleep but my body wont let me  so i will draw instead  &lt;3,TT need more sleep but my body wont let me  so i will draw instead  lt,21,0,0.7326,"dark, look, short, skin, bodi, go, miss, work, hair, say","['need', 'sleep', 'bodi', 'wont', 'draw', 'instead']",not body,No
0,back from the casino a big fat loser! ,back from the casino a big fat loser ,22,0,0.125,"dark, look, short, skin, bodi, go, miss, work, hair, say","['casino', 'loser']",not body,No
